comunidad,residencia,viajeros,pernoctaciones,año,mes,total
Madrid,Residentes en España,Si,,2023,9,564.048
Madrid,Residentes en España,Si,,2023,8,467.045
Madrid,Residentes en España,Si,,2023,7,563.343
Madrid,Residentes en España,Si,,2023,6,615.313
Madrid,Residentes en España,Si,,2023,5,567.870
Madrid,Residentes en España,Si,,2023,4,566.645
Madrid,Residentes en España,Si,,2023,3,579.764
Madrid,Residentes en España,Si,,2023,2,513.382
Madrid,Residentes en España,Si,,2023,1,524.051
Madrid,Residentes en España,Si,,2022,12,620.080
Madrid,Residentes en España,Si,,2022,11,593.671
Madrid,Residentes en España,Si,,2022,10,582.487
Madrid,Residentes en España,Si,,2022,9,550.019
Madrid,Residentes en España,Si,,2022,8,448.780
Madrid,Residentes en España,Si,,2022,7,480.539
Madrid,Residentes en España,Si,,2022,6,554.884
Madrid,Residentes en España,Si,,2022,5,550.965
Madrid,Residentes en España,Si,,2022,4,555.151
Madrid,Residentes en España,Si,,2022,3,525.292
Madrid,Residentes en España,Si,,2022,2,484.422
Madrid,Residentes en España,Si,,2022,1,386.597
Madrid,Residentes en España,Si,,2021,12,528.498
Madrid,Residentes en España,Si,,2021,11,528.624
Madrid,Residentes en España,Si,,2021,10,564.761
Madrid,Residentes en España,Si,,2021,9,452.686
Madrid,Residentes en España,Si,,2021,8,363.898
Madrid,Residentes en España,Si,,2021,7,376.416
Madrid,Residentes en España,Si,,2021,6,371.203
Madrid,Residentes en España,Si,,2021,5,316.121
Madrid,Residentes en España,Si,,2021,4,232.440
Madrid,Residentes en España,Si,,2021,3,235.502
Madrid,Residentes en España,Si,,2021,2,196.967
Madrid,Residentes en España,Si,,2021,1,181.252
Madrid,Residentes en España,Si,,2020,12,200.945
Madrid,Residentes en España,Si,,2020,11,167.173
Madrid,Residentes en España,Si,,2020,10,142.107
Madrid,Residentes en España,Si,,2020,9,177.448
Madrid,Residentes en España,,Si,2023,9,985.818
Madrid,Residentes en España,,Si,2023,8,835.075
Madrid,Residentes en España,,Si,2023,7,958.385
Madrid,Residentes en España,,Si,2023,6,1.002.324
Madrid,Residentes en España,,Si,2023,5,944.848
Madrid,Residentes en España,,Si,2023,4,1.028.075
Madrid,Residentes en España,,Si,2023,3,963.723
Madrid,Residentes en España,,Si,2023,2,891.978
Madrid,Residentes en España,,Si,2023,1,904.052
Madrid,Residentes en España,,Si,2022,12,1.111.786
Madrid,Residentes en España,,Si,2022,11,991.945
Madrid,Residentes en España,,Si,2022,10,1.012.992
Madrid,Residentes en España,,Si,2022,9,932.436
Madrid,Residentes en España,,Si,2022,8,786.584
Madrid,Residentes en España,,Si,2022,7,830.820
Madrid,Residentes en España,,Si,2022,6,940.874
Madrid,Residentes en España,,Si,2022,5,941.725
Madrid,Residentes en España,,Si,2022,4,981.114
Madrid,Residentes en España,,Si,2022,3,905.312
Madrid,Residentes en España,,Si,2022,2,847.027
Madrid,Residentes en España,,Si,2022,1,699.507
Madrid,Residentes en España,,Si,2021,12,981.968
Madrid,Residentes en España,,Si,2021,11,923.355
Madrid,Residentes en España,,Si,2021,10,1.032.907
Madrid,Residentes en España,,Si,2021,9,816.887
Madrid,Residentes en España,,Si,2021,8,676.957
Madrid,Residentes en España,,Si,2021,7,673.159
Madrid,Residentes en España,,Si,2021,6,656.321
Madrid,Residentes en España,,Si,2021,5,561.269
Madrid,Residentes en España,,Si,2021,4,403.306
Madrid,Residentes en España,,Si,2021,3,409.239
Madrid,Residentes en España,,Si,2021,2,341.895
Madrid,Residentes en España,,Si,2021,1,318.876
Madrid,Residentes en España,,Si,2020,12,358.265
Madrid,Residentes en España,,Si,2020,11,304.090
Madrid,Residentes en España,,Si,2020,10,273.851
Madrid,Residentes en España,,Si,2020,9,333.690
